costcode,week_ending,period_hrs,project_number,project_name
1001210,12/25/2021,413,1300642,Cascade Power Project
1001210,1/1/2022,4,1300642,Cascade Power Project
1001210,1/8/2022,1895.5,1300642,Cascade Power Project
1001210,1/15/2022,2082.5,1300642,Cascade Power Project
1001210,1/22/2022,1863.5,1300642,Cascade Power Project
1001210,1/29/2022,1943,1300642,Cascade Power Project
1001210,2/5/2022,2072.5,1300642,Cascade Power Project
1001210,2/12/2022,2070,1300642,Cascade Power Project
1001210,2/19/2022,2118,1300642,Cascade Power Project
1001210,2/26/2022,2057.5,1300642,Cascade Power Project
1001210,3/5/2022,2284.5,1300642,Cascade Power Project
1001210,3/12/2022,1987,1300642,Cascade Power Project
1001210,3/19/2022,2278.5,1300642,Cascade Power Project
1001210,3/26/2022,2299.5,1300642,Cascade Power Project
1001210,4/2/2022,2240,1300642,Cascade Power Project
1001210,4/9/2022,2406,1300642,Cascade Power Project
1001210,4/16/2022,2344.5,1300642,Cascade Power Project
1001210,4/23/2022,2509,1300642,Cascade Power Project
1001210,4/30/2022,2669,1300642,Cascade Power Project
1001210,5/7/2022,2583.5,1300642,Cascade Power Project
1001210,5/14/2022,2705.5,1300642,Cascade Power Project
1001210,5/21/2022,2636,1300642,Cascade Power Project
1001210,5/28/2022,2655.5,1300642,Cascade Power Project
1001210,6/4/2022,2666,1300642,Cascade Power Project
1001210,6/11/2022,2703.5,1300642,Cascade Power Project
1001210,6/18/2022,2716,1300642,Cascade Power Project
1001210,6/25/2022,2902.5,1300642,Cascade Power Project
1001210,7/2/2022,2822.75,1300642,Cascade Power Project
1001210,7/9/2022,2768.75,1300642,Cascade Power Project
1001210,7/16/2022,2572,1300642,Cascade Power Project
1001210,7/23/2022,2902.5,1300642,Cascade Power Project
1001210,7/30/2022,2769,1300642,Cascade Power Project
1001210,8/6/2022,2782,1300642,Cascade Power Project
1001210,8/13/2022,2706.5,1300642,Cascade Power Project
1001210,8/20/2022,2873.5,1300642,Cascade Power Project
1001210,8/27/2022,2909.5,1300642,Cascade Power Project
1001210,9/3/2022,2887,1300642,Cascade Power Project
1001210,9/10/2022,2910.5,1300642,Cascade Power Project
1001210,9/17/2022,3015.5,1300642,Cascade Power Project
1001210,9/24/2022,3175.5,1300642,Cascade Power Project
1001210,10/1/2022,3287,1300642,Cascade Power Project
1001210,10/8/2022,3184.5,1300642,Cascade Power Project
1001210,10/15/2022,3258.5,1300642,Cascade Power Project
1001210,10/22/2022,3466.5,1300642,Cascade Power Project
1001210,10/29/2022,3555.5,1300642,Cascade Power Project
1001210,11/5/2022,3270.5,1300642,Cascade Power Project
1001210,11/12/2022,3291.5,1300642,Cascade Power Project
1001210,11/19/2022,3325,1300642,Cascade Power Project
1001210,11/26/2022,3307,1300642,Cascade Power Project
1001210,12/3/2022,3323.5,1300642,Cascade Power Project
1001210,12/10/2022,3299.5,1300642,Cascade Power Project
1001210,12/17/2022,4307.5,1300642,Cascade Power Project
1001210,12/24/2022,1795,1300642,Cascade Power Project
1001210,12/31/2022,4,1300642,Cascade Power Project
1001210,1/7/2023,2910,1300642,Cascade Power Project
1001210,1/14/2023,3391,1300642,Cascade Power Project
1001210,1/21/2023,3326.5,1300642,Cascade Power Project
1001210,1/28/2023,3353.5,1300642,Cascade Power Project
1001210,2/4/2023,3912.5,1300642,Cascade Power Project
1001210,2/11/2023,3441,1300642,Cascade Power Project
1001210,2/18/2023,3206,1300642,Cascade Power Project
1001210,2/25/2023,3211,1300642,Cascade Power Project
1001210,3/4/2023,3286,1300642,Cascade Power Project
1001210,3/11/2023,4407,1300642,Cascade Power Project
1001210,3/18/2023,271,1300642,Cascade Power Project
1001210,8/29/2020,51,1300642,Cascade Power Project
1001210,9/5/2020,72,1300642,Cascade Power Project
1001210,9/12/2020,20,1300642,Cascade Power Project
1001210,9/12/2020,70,1300642,Cascade Power Project
1001210,9/19/2020,60,1300642,Cascade Power Project
1001210,9/26/2020,72,1300642,Cascade Power Project
1001210,10/3/2020,60,1300642,Cascade Power Project
1001210,10/10/2020,84,1300642,Cascade Power Project
1001210,10/17/2020,24,1300642,Cascade Power Project
1001210,10/17/2020,80,1300642,Cascade Power Project
1001210,10/24/2020,84,1300642,Cascade Power Project
1001210,10/31/2020,60,1300642,Cascade Power Project
1001210,11/7/2020,77,1300642,Cascade Power Project
1001210,11/14/2020,51.5,1300642,Cascade Power Project
1001210,11/21/2020,73.5,1300642,Cascade Power Project
1001210,11/28/2020,55.5,1300642,Cascade Power Project
1001210,12/5/2020,74.5,1300642,Cascade Power Project
1001210,12/12/2020,77,1300642,Cascade Power Project
1001210,12/19/2020,151.5,1300642,Cascade Power Project
1001210,12/26/2020,58.5,1300642,Cascade Power Project
1001210,1/9/2021,20,1300642,Cascade Power Project
1001210,1/16/2021,68,1300642,Cascade Power Project
1001210,1/23/2021,80,1300642,Cascade Power Project
1001210,1/30/2021,90,1300642,Cascade Power Project
1001210,2/6/2021,100,1300642,Cascade Power Project
1001210,2/13/2021,100,1300642,Cascade Power Project
1001210,2/20/2021,150,1300642,Cascade Power Project
1001210,2/27/2021,160,1300642,Cascade Power Project
1001210,3/6/2021,150,1300642,Cascade Power Project
1001210,3/13/2021,152.5,1300642,Cascade Power Project
1001210,3/20/2021,151,1300642,Cascade Power Project
1001210,3/27/2021,164,1300642,Cascade Power Project
1001210,4/3/2021,155,1300642,Cascade Power Project
1001210,4/10/2021,151,1300642,Cascade Power Project
1001210,4/17/2021,154,1300642,Cascade Power Project
1001210,4/24/2021,189,1300642,Cascade Power Project
1001210,5/1/2021,220,1300642,Cascade Power Project
1001210,5/8/2021,215,1300642,Cascade Power Project
1001210,5/15/2021,247,1300642,Cascade Power Project
1001210,5/22/2021,289.5,1300642,Cascade Power Project
1001210,5/29/2021,271.5,1300642,Cascade Power Project
1001210,6/5/2021,287,1300642,Cascade Power Project
1001210,6/12/2021,336,1300642,Cascade Power Project
1001210,6/19/2021,336,1300642,Cascade Power Project
1001210,6/26/2021,321.5,1300642,Cascade Power Project
1001210,7/3/2021,323.5,1300642,Cascade Power Project
1001210,7/10/2021,333.25,1300642,Cascade Power Project
1001210,7/17/2021,358.25,1300642,Cascade Power Project
1001210,7/24/2021,310.5,1300642,Cascade Power Project
1001210,7/31/2021,330,1300642,Cascade Power Project
1001210,8/7/2021,272.5,1300642,Cascade Power Project
1001210,8/14/2021,246,1300642,Cascade Power Project
1001210,8/21/2021,441,1300642,Cascade Power Project
1001210,8/28/2021,444.25,1300642,Cascade Power Project
1001210,9/4/2021,426.5,1300642,Cascade Power Project
1001210,9/11/2021,453.5,1300642,Cascade Power Project
1001210,9/18/2021,476.5,1300642,Cascade Power Project
1001210,9/25/2021,455.25,1300642,Cascade Power Project
1001210,10/2/2021,489,1300642,Cascade Power Project
1001210,10/9/2021,514.75,1300642,Cascade Power Project
1001210,10/16/2021,495,1300642,Cascade Power Project
1001210,10/23/2021,586.5,1300642,Cascade Power Project
1001210,10/30/2021,502,1300642,Cascade Power Project
1001210,11/6/2021,517.5,1300642,Cascade Power Project
1001210,11/13/2021,548,1300642,Cascade Power Project
1001210,11/20/2021,547.5,1300642,Cascade Power Project
1001210,11/27/2021,457.5,1300642,Cascade Power Project
1001210,12/4/2021,484.5,1300642,Cascade Power Project
1001210,12/11/2021,490,1300642,Cascade Power Project
1001210,12/18/2021,582,1300642,Cascade Power Project
1001210,12/25/2021,200.5,1300642,Cascade Power Project
1001210,1/8/2022,498,1300642,Cascade Power Project
1001210,1/15/2022,637,1300642,Cascade Power Project
1001210,1/22/2022,610,1300642,Cascade Power Project
1001210,1/29/2022,621,1300642,Cascade Power Project
1001210,2/5/2022,598,1300642,Cascade Power Project
1001210,2/12/2022,620,1300642,Cascade Power Project
1001210,2/19/2022,603,1300642,Cascade Power Project
1001210,2/26/2022,533.5,1300642,Cascade Power Project
1001210,3/5/2022,616.5,1300642,Cascade Power Project
1001210,3/12/2022,567,1300642,Cascade Power Project
1001210,3/19/2022,607,1300642,Cascade Power Project
1001210,3/26/2022,610,1300642,Cascade Power Project
1001210,4/2/2022,582.5,1300642,Cascade Power Project
1001210,4/9/2022,578.5,1300642,Cascade Power Project
1001210,4/16/2022,614,1300642,Cascade Power Project
1001210,4/23/2022,640.5,1300642,Cascade Power Project
1001210,4/30/2022,675,1300642,Cascade Power Project
1001210,5/7/2022,563,1300642,Cascade Power Project
1001210,5/14/2022,621,1300642,Cascade Power Project
1001210,5/21/2022,653.5,1300642,Cascade Power Project
1001210,5/28/2022,574.5,1300642,Cascade Power Project
1001210,6/4/2022,688.5,1300642,Cascade Power Project
1001210,6/11/2022,644.5,1300642,Cascade Power Project
1001210,6/18/2022,642.5,1300642,Cascade Power Project
1001210,6/25/2022,0,1300642,Cascade Power Project
1001210,6/25/2022,646.5,1300642,Cascade Power Project
1001210,7/2/2022,657,1300642,Cascade Power Project
1001210,7/9/2022,603,1300642,Cascade Power Project
1001210,7/16/2022,479,1300642,Cascade Power Project
1001210,7/23/2022,551.5,1300642,Cascade Power Project
1001210,7/30/2022,593,1300642,Cascade Power Project
1001210,8/6/2022,649,1300642,Cascade Power Project
1001210,8/13/2022,600,1300642,Cascade Power Project
1001210,8/20/2022,594.5,1300642,Cascade Power Project
1001210,8/27/2022,588,1300642,Cascade Power Project
1001210,9/3/2022,610,1300642,Cascade Power Project
1001210,9/10/2022,671,1300642,Cascade Power Project
1001210,9/17/2022,695,1300642,Cascade Power Project
1001210,9/24/2022,682,1300642,Cascade Power Project
1001210,10/1/2022,588,1300642,Cascade Power Project
1001210,10/8/2022,681.5,1300642,Cascade Power Project
1001210,10/15/2022,676,1300642,Cascade Power Project
1001210,10/22/2022,702,1300642,Cascade Power Project
1001210,10/29/2022,622,1300642,Cascade Power Project
1001210,11/5/2022,653,1300642,Cascade Power Project
1001210,11/12/2022,553,1300642,Cascade Power Project
1001210,11/19/2022,649.5,1300642,Cascade Power Project
1001210,11/26/2022,592.5,1300642,Cascade Power Project
1001210,12/3/2022,40,1300642,Cascade Power Project
1001210,12/10/2022,616,1300642,Cascade Power Project
1001210,12/17/2022,776,1300642,Cascade Power Project
1001210,12/24/2022,264,1300642,Cascade Power Project
1001210,1/7/2023,508,1300642,Cascade Power Project
1001210,1/14/2023,614,1300642,Cascade Power Project
1001210,1/21/2023,581.5,1300642,Cascade Power Project
1001210,1/28/2023,634,1300642,Cascade Power Project
1001210,2/4/2023,613,1300642,Cascade Power Project
1001210,2/11/2023,606.5,1300642,Cascade Power Project
1001210,2/18/2023,622,1300642,Cascade Power Project
1001210,2/25/2023,596,1300642,Cascade Power Project
1001210,3/4/2023,572,1300642,Cascade Power Project
1001210,3/11/2023,58,1300642,Cascade Power Project
1001320,10/15/2022,0,1300642,Cascade Power Project
1001320,12/10/2022,0,1300642,Cascade Power Project
1001320,12/17/2022,0,1300642,Cascade Power Project
1001320,12/17/2022,0,1300642,Cascade Power Project
1001320,1/14/2023,0,1300642,Cascade Power Project
1001320,1/21/2023,0,1300642,Cascade Power Project
1001320,1/28/2023,0,1300642,Cascade Power Project
1001320,1/28/2023,0,1300642,Cascade Power Project
1001320,1/28/2023,0,1300642,Cascade Power Project
1001320,2/4/2023,0,1300642,Cascade Power Project
1001320,2/4/2023,0,1300642,Cascade Power Project
1001320,2/4/2023,0,1300642,Cascade Power Project
1001320,2/4/2023,0,1300642,Cascade Power Project
1001320,2/4/2023,0,1300642,Cascade Power Project
1001405,1/16/2021,16,1300642,Cascade Power Project
1001405,1/23/2021,16,1300642,Cascade Power Project
1001405,3/27/2021,27,1300642,Cascade Power Project
1001405,10/23/2021,15,1300642,Cascade Power Project
1001405,10/30/2021,30,1300642,Cascade Power Project
1001405,1/22/2022,14,1300642,Cascade Power Project
1001405,1/29/2022,20,1300642,Cascade Power Project
1001405,2/5/2022,4,1300642,Cascade Power Project
1001405,9/5/2020,235.5,1300642,Cascade Power Project
1001405,9/12/2020,175.5,1300642,Cascade Power Project
1001405,9/19/2020,287,1300642,Cascade Power Project
1001405,9/26/2020,204,1300642,Cascade Power Project
1001405,10/3/2020,238,1300642,Cascade Power Project
1001405,10/10/2020,217.5,1300642,Cascade Power Project
1001405,10/17/2020,220,1300642,Cascade Power Project
1001405,10/24/2020,286,1300642,Cascade Power Project
1001405,10/31/2020,326,1300642,Cascade Power Project
1001405,11/7/2020,382.5,1300642,Cascade Power Project
1001405,11/14/2020,292.5,1300642,Cascade Power Project
1001405,11/21/2020,427,1300642,Cascade Power Project
1001405,11/28/2020,445,1300642,Cascade Power Project
1001405,12/5/2020,490.5,1300642,Cascade Power Project
1001405,12/12/2020,446.5,1300642,Cascade Power Project
1001405,12/19/2020,443,1300642,Cascade Power Project
1001405,12/26/2020,63,1300642,Cascade Power Project
1001405,1/2/2021,33,1300642,Cascade Power Project
1001405,1/9/2021,438.5,1300642,Cascade Power Project
1001405,1/16/2021,472.5,1300642,Cascade Power Project
1001405,1/23/2021,483.5,1300642,Cascade Power Project
1001405,1/30/2021,533.5,1300642,Cascade Power Project
1001405,2/6/2021,396,1300642,Cascade Power Project
1001405,2/13/2021,410.5,1300642,Cascade Power Project
1001405,2/20/2021,255,1300642,Cascade Power Project
1001405,2/27/2021,353.5,1300642,Cascade Power Project
1001405,3/6/2021,416.5,1300642,Cascade Power Project
1001405,3/13/2021,430,1300642,Cascade Power Project
1001405,3/20/2021,318.5,1300642,Cascade Power Project
1001405,3/27/2021,402,1300642,Cascade Power Project
1001405,4/3/2021,290.5,1300642,Cascade Power Project
1001405,4/10/2021,366.5,1300642,Cascade Power Project
1001405,4/17/2021,355,1300642,Cascade Power Project
1001405,4/24/2021,399.5,1300642,Cascade Power Project
1001405,5/1/2021,361,1300642,Cascade Power Project
1001405,5/8/2021,354.5,1300642,Cascade Power Project
1001405,5/15/2021,377.5,1300642,Cascade Power Project
1001405,5/22/2021,396.5,1300642,Cascade Power Project
1001405,5/29/2021,371.5,1300642,Cascade Power Project
1001405,6/5/2021,410.5,1300642,Cascade Power Project
1001405,6/12/2021,314.5,1300642,Cascade Power Project
1001405,6/19/2021,373.5,1300642,Cascade Power Project
1001405,6/26/2021,366.5,1300642,Cascade Power Project
1001405,7/3/2021,300,1300642,Cascade Power Project
1001405,7/10/2021,364.5,1300642,Cascade Power Project
1001405,7/17/2021,326.5,1300642,Cascade Power Project
1001405,7/24/2021,259.5,1300642,Cascade Power Project
1001405,7/31/2021,325,1300642,Cascade Power Project
1001405,8/7/2021,219.5,1300642,Cascade Power Project
1001405,8/14/2021,246,1300642,Cascade Power Project
1001405,8/21/2021,272,1300642,Cascade Power Project
1001405,8/28/2021,235,1300642,Cascade Power Project
1001405,9/4/2021,286,1300642,Cascade Power Project
1001405,9/11/2021,297.5,1300642,Cascade Power Project
1001405,9/18/2021,476.25,1300642,Cascade Power Project
1001405,9/25/2021,417.5,1300642,Cascade Power Project
1001405,10/2/2021,404,1300642,Cascade Power Project
1001405,10/9/2021,404.25,1300642,Cascade Power Project
1001405,10/16/2021,252.5,1300642,Cascade Power Project
1001405,10/23/2021,283.25,1300642,Cascade Power Project
1001405,10/30/2021,371,1300642,Cascade Power Project
1001405,11/6/2021,400,1300642,Cascade Power Project
1001405,11/13/2021,321.75,1300642,Cascade Power Project
1001405,11/20/2021,477.5,1300642,Cascade Power Project
1001405,11/27/2021,467,1300642,Cascade Power Project
1001405,12/4/2021,413,1300642,Cascade Power Project
1001405,12/11/2021,372.5,1300642,Cascade Power Project
1001405,12/18/2021,411,1300642,Cascade Power Project
1001405,12/25/2021,193,1300642,Cascade Power Project
1001405,1/8/2022,311.75,1300642,Cascade Power Project
1001405,1/15/2022,452.5,1300642,Cascade Power Project
1001405,1/22/2022,425.5,1300642,Cascade Power Project
1001405,1/29/2022,548.5,1300642,Cascade Power Project
1001405,2/5/2022,515.5,1300642,Cascade Power Project
1001405,2/12/2022,545,1300642,Cascade Power Project
1001405,2/19/2022,534.25,1300642,Cascade Power Project
1001405,2/26/2022,449.25,1300642,Cascade Power Project
1001405,3/5/2022,538.5,1300642,Cascade Power Project
1001405,3/12/2022,574,1300642,Cascade Power Project
1001405,3/19/2022,534,1300642,Cascade Power Project
1001405,3/26/2022,545.5,1300642,Cascade Power Project
1001405,4/2/2022,507.5,1300642,Cascade Power Project
1001405,4/9/2022,557.5,1300642,Cascade Power Project
1001405,4/16/2022,443.5,1300642,Cascade Power Project
1001405,4/23/2022,479,1300642,Cascade Power Project
1001405,4/30/2022,443,1300642,Cascade Power Project
1001405,5/7/2022,523,1300642,Cascade Power Project
1001405,5/14/2022,555.75,1300642,Cascade Power Project
1001405,5/21/2022,531,1300642,Cascade Power Project
1001405,5/28/2022,381.5,1300642,Cascade Power Project
1001405,6/4/2022,594,1300642,Cascade Power Project
1001405,6/11/2022,532,1300642,Cascade Power Project
1001405,6/18/2022,530.5,1300642,Cascade Power Project
1001405,6/25/2022,490.75,1300642,Cascade Power Project
1001405,7/2/2022,380,1300642,Cascade Power Project
1001405,7/9/2022,457.5,1300642,Cascade Power Project
1001405,7/16/2022,463.5,1300642,Cascade Power Project
1001405,7/23/2022,446.5,1300642,Cascade Power Project
1001405,7/30/2022,352,1300642,Cascade Power Project
1001405,8/6/2022,234,1300642,Cascade Power Project
1001405,8/13/2022,345.5,1300642,Cascade Power Project
1001405,8/20/2022,340,1300642,Cascade Power Project
1001405,8/27/2022,322,1300642,Cascade Power Project
1001405,9/3/2022,386,1300642,Cascade Power Project
1001405,9/10/2022,232.5,1300642,Cascade Power Project
1001405,9/17/2022,430.5,1300642,Cascade Power Project
1001405,9/24/2022,516.25,1300642,Cascade Power Project
1001405,10/1/2022,394,1300642,Cascade Power Project
1001405,10/8/2022,372.5,1300642,Cascade Power Project
1001405,10/15/2022,300.5,1300642,Cascade Power Project
1001405,10/22/2022,405,1300642,Cascade Power Project
1001405,10/29/2022,390.5,1300642,Cascade Power Project
1001405,11/5/2022,426.5,1300642,Cascade Power Project
1001405,11/12/2022,349,1300642,Cascade Power Project
1001405,11/19/2022,569,1300642,Cascade Power Project
1001405,11/26/2022,577.5,1300642,Cascade Power Project
1001405,12/3/2022,583,1300642,Cascade Power Project
1001405,12/10/2022,595,1300642,Cascade Power Project
1001405,12/17/2022,604.5,1300642,Cascade Power Project
1001405,12/24/2022,402,1300642,Cascade Power Project
1001405,12/31/2022,103,1300642,Cascade Power Project
1001405,1/7/2023,413.5,1300642,Cascade Power Project
1001405,1/14/2023,586.5,1300642,Cascade Power Project
1001405,1/21/2023,546.5,1300642,Cascade Power Project
1001405,1/28/2023,459,1300642,Cascade Power Project
1001405,2/11/2023,380.5,1300642,Cascade Power Project
1001405,2/18/2023,460,1300642,Cascade Power Project
1001405,2/25/2023,452,1300642,Cascade Power Project
1001405,3/4/2023,481.5,1300642,Cascade Power Project
3001110,5/1/2021,0.5,1300642,Cascade Power Project
3001110,5/1/2021,0.5,1300642,Cascade Power Project
3001110,9/4/2021,5.25,1300642,Cascade Power Project
3001110,10/9/2021,4,1300642,Cascade Power Project
3001110,1/29/2022,3.5,1300642,Cascade Power Project
3001110,1/29/2022,19,1300642,Cascade Power Project
3001110,1/29/2022,7,1300642,Cascade Power Project
3001110,2/19/2022,4,1300642,Cascade Power Project
3001110,4/9/2022,2,1300642,Cascade Power Project
3001110,4/30/2022,2,1300642,Cascade Power Project
3001110,5/28/2022,0.5,1300642,Cascade Power Project
3001110,6/11/2022,8.5,1300642,Cascade Power Project
3001110,6/11/2022,2,1300642,Cascade Power Project
3001110,6/11/2022,6,1300642,Cascade Power Project
3001110,8/20/2022,9,1300642,Cascade Power Project
3001110,8/20/2022,3,1300642,Cascade Power Project
3001110,8/20/2022,3,1300642,Cascade Power Project
3001110,9/3/2022,1.5,1300642,Cascade Power Project
3001110,9/3/2022,1,1300642,Cascade Power Project
3001110,9/10/2022,10,1300642,Cascade Power Project
3001110,10/1/2022,3,1300642,Cascade Power Project
3001110,10/15/2022,4,1300642,Cascade Power Project
3001110,11/12/2022,18,1300642,Cascade Power Project
3001110,12/10/2022,10.5,1300642,Cascade Power Project
3001110,12/17/2022,48,1300642,Cascade Power Project
3001110,1/28/2023,13.5,1300642,Cascade Power Project
3001110,3/18/2023,2,1300642,Cascade Power Project
3001200,4/16/2022,28,1300642,Cascade Power Project
3001200,4/23/2022,24,1300642,Cascade Power Project
3001200,4/30/2022,16,1300642,Cascade Power Project
3001200,5/14/2022,4,1300642,Cascade Power Project
3001200,10/1/2022,45,1300642,Cascade Power Project
3001200,10/15/2022,4,1300642,Cascade Power Project
